"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1538","checkClickTabSauces()","","Wed Jun 17 18:58:06 MSK 2026","passed","Wed Jun 17 18:58:08 MSK 2026","","ConstructorPageTest","ConstructorPageTest","checkClickTabSauces"
"","2093","checkButtonEnterFormRegister()","","Wed Jun 17 18:58:22 MSK 2026","passed","Wed Jun 17 18:58:24 MSK 2026","","LoginPageTest","LoginPageTest","checkButtonEnterFormRegister"
"","1469","registerInvalidPassword()","","Wed Jun 17 18:58:28 MSK 2026","passed","Wed Jun 17 18:58:30 MSK 2026","","RegisterPageTests","RegisterPageTests","registerInvalidPassword"
"","2026","registerSuccessUser()","","Wed Jun 17 18:58:30 MSK 2026","passed","Wed Jun 17 18:58:32 MSK 2026","","RegisterPageTests","RegisterPageTests","registerSuccessUser"
"","1005","checkClickTabBuns()","","Wed Jun 17 18:58:05 MSK 2026","passed","Wed Jun 17 18:58:06 MSK 2026","","ConstructorPageTest","ConstructorPageTest","checkClickTabBuns"
"","1974","checkButtonPersonalAccount()","","Wed Jun 17 18:58:20 MSK 2026","passed","Wed Jun 17 18:58:22 MSK 2026","","LoginPageTest","LoginPageTest","checkButtonPersonalAccount"
"","1880","checkCLickLogoStellarAndRedirect()","","Wed Jun 17 18:58:12 MSK 2026","passed","Wed Jun 17 18:58:14 MSK 2026","","HomePageTests","HomePageTests","checkCLickLogoStellarAndRedirect"
"","2496","checkRedirectToTheConstructorFromPersAcc()","","Wed Jun 17 18:58:15 MSK 2026","passed","Wed Jun 17 18:58:18 MSK 2026","","HomePageTests","HomePageTests","checkRedirectToTheConstructorFromPersAcc"
"","2015","checkButtonEnterFormRecoverPassword()","","Wed Jun 17 18:58:18 MSK 2026","passed","Wed Jun 17 18:58:20 MSK 2026","","LoginPageTest","LoginPageTest","checkButtonEnterFormRecoverPassword"
"","4621","checkRedirectFromPersAccAuthSuccess()","","Wed Jun 17 18:58:08 MSK 2026","passed","Wed Jun 17 18:58:12 MSK 2026","","HomePageTests","HomePageTests","checkRedirectFromPersAccAuthSuccess"
"","1950","checkButtonLogInAcc()","","Wed Jun 17 18:58:24 MSK 2026","passed","Wed Jun 17 18:58:26 MSK 2026","","LoginPageTest","LoginPageTest","checkButtonLogInAcc"
"","2477","checkLoggingOutOfYourAccount()","","Wed Jun 17 18:58:26 MSK 2026","passed","Wed Jun 17 18:58:28 MSK 2026","","PersonalAccountTest","PersonalAccountTest","checkLoggingOutOfYourAccount"
"","1159","checkRedirectFromPersAccNotAuth()","","Wed Jun 17 18:58:14 MSK 2026","passed","Wed Jun 17 18:58:15 MSK 2026","","HomePageTests","HomePageTests","checkRedirectFromPersAccNotAuth"
"","2940","checkClickTabToppings()","","Wed Jun 17 18:58:02 MSK 2026","passed","Wed Jun 17 18:58:05 MSK 2026","","ConstructorPageTest","ConstructorPageTest","checkClickTabToppings"
